Kategoria;Tytul;Tresc
Trening;Progresywne Przeciążenie;Aby mięśnie rosły, musisz stale zmuszać je do większego wysiłku. Zwiększaj ciężar, liczbę powtórzeń lub poprawiaj technikę z treningu na trening.
Trening;Skala RPE i RIR;RPE to skala odczuwalnego wysiłku (1-10). RIR to powtórzenia w zapasie. Trenuj z RIR 1-3, aby optymalnie stymulować mięśnie bez skrajnego przemęczenia układu nerwowego.
Trening;Zakresy powtórzeń a cel;Siła to 1-5 powtórzeń, hipertrofia to 6-15, wytrzymałość 15+. Pamiętaj jednak, że mięśnie rosną w każdym zakresie, jeśli zbliżasz się do upadku mięśniowego.
Trening;Objętość Treningowa;To całkowita praca wykonana na treningu (serie x powtórzenia x ciężar). Dla początkujących 10-12 serii roboczych na dużą partię mięśniową w tygodniu to optymalny start.
Dieta;Białko - fundament budowy;Celuj w 1.6g do 2.2g białka na kilogram masy ciała. Rozłóż to na 3-5 posiłków w ciągu dnia, aby zmaksymalizować syntezę białek mięśniowych (MPS).
Dieta;Węglowodany i tłuszcze;Węgle to Twoje główne paliwo (ryż, ziemniaki). Tłuszcze (min. 0.8g/kg masy ciała) są z kolei absolutnie kluczowe dla prawidłowej gospodarki hormonalnej.
Dieta;Zapotrzebowanie (Klucz do sukcesu);Nawet najlepszy trening nie zbuduje masy bez nadwyżki kalorycznej ani nie spali tłuszczu bez deficytu. To fizyka, kalorie rządzą wagą.
Regeneracja;Sen to podstawa;Mięśnie nie rosną na treningu - rosną podczas snu. Celuj w 7-9 godzin głębokiego snu. Brak snu drastycznie obniża testosteron i wrażliwość insulinową.
Regeneracja;Przerwy między seriami;Nie spiesz się. Odpoczywaj 2-3 minuty przy ciężkich ćwiczeniach wielostawowych (np. przysiady), aby układ nerwowy mógł się w pełni zregenerować.
Pojecia;Upadek mięśniowy;Moment w serii, w którym mimo włożenia 100% wysiłku nie jesteś w stanie wykonać kolejnego powtórzenia z zachowaniem prawidłowej techniki.
